No,날짜,카테고리,제목,원문텍스트,텍스트_정제,형태소,시기구분,추천수
1,2026-04-14,기숙사/주거,기숙사 앞 조용히좀 하세요,"몇시간동안 떠드시는데 소리 다 들려요
제발 조용히좀 하세요",기숙사 앞 조용히좀 하세요 몇시간동안 떠드시는데 소리 다 들려요 제발 조용히좀 하세요,기숙사 조용하다 동안 떠들다 소리 제발 조용하다,시험기간,2
2,2026-04-11,기숙사/주거,기숙사 앞 조용히 좀 해라,"미래관이랑 진리관 사이에 흡연 구역에서 떠드는 남녀 무리애들아
기숙사까지 다 들린다 제발,,,
술먹고 떠드는지는 몰라도 좀 조용히하고 놀아라
지들이 시끄러운지도 모르는건지 머리에 개념이 없네",기숙사 앞 조용히 좀 해라 기숙사이랑 기숙사 사이에 흡연 구역에서 떠드는 남녀 무리애들아 기숙사까지 다 들린다 제발 술먹고 떠드는지는 몰라도 좀 조용히하고 놀아라 지들이 시끄러운지도 모르는건지 머리에 개념이 없네,기숙사 조용하다 기숙사 기숙사 사이 흡연 구역 떠들다 남녀 무리 기숙사 들리다 제발 떠들다 조용하다 놀다 지다 들이다 시끄럽다 건지다 머리 개념,시험기간,1
3,2026-04-09,기숙사/주거,기숙사,"정의관 4층 너무 시끄럽다..피해 좀 주지마..

",기숙사 기숙사 4층 너무 시끄럽다 피해 좀 주지마,기숙사 기숙사 시끄럽다 피해,시험기간,0
4,2026-04-02,기숙사/주거,기숙사 이거 맞냐?,버섯이 자꾸 자란다 ㅅㅂ,기숙사 이거 맞냐 버섯이 자꾸 자란다 시발,기숙사 버섯 자꾸 자라다 시발,시험기간,18
5,2026-03-18,기숙사/주거,기숙사 통금 없애면 안되나,이때쯤에 통금때매 술 취한 사람들 오는 소리 존나 시끄러울때 많은데,기숙사 통금 없애면 안되나 이때쯤에 통금때매 술 취한 사람들 오는 소리 존나 시끄러울때 많은데,기숙사 통금 없애다 통금 때매 취한 소리 존나 시끄럽다 많다,평소,0
6,2026-03-13,기숙사/주거,"좀 닥쳐라, 이 정신머리 없는 것들아
","지금 새벽 1시 다 되가고 자는 사람도 많은데
기숙사 앞에서 뭐하는 짓거리들이야",좀 닥쳐라 이 정신머리 없는 것들아 지금 새벽 1시 다 되가고 자는 사람도 많은데 기숙사 앞에서 뭐하는 짓거리들이야,닥치다 정신 머리 지금 새벽 많다 기숙사 짓거리,평소,0
7,2026-03-13,기숙사/주거,"기숙사 늦은 시간은 배려좀 하지
","존나 쿵쾅거리고 문 쌔게 처 닫지좀 마샘 씨발아

",기숙사 늦은 시간은 배려좀 하지 존나 쿵쾅거리고 문 쌔게 처 닫지좀 마샘 씨발아,기숙사 늦다 배려 존나 쿵쾅거리다 닫다 마샘 씨발,평소,0
8,2026-03-12,기숙사/주거,기숙사 복도에 우산좀 처 펼쳐놓지맙시다,"애새끼도 아니고 이기적이게 왜 그런 행동을 하는거에요

",기숙사 복도에 우산좀 처 펼쳐놓지맙시다 애새끼도 아니고 이기적이게 왜 그런 행동을 하는거에요,기숙사 복도 우산 펼치다 맙시 새끼 기적 그렇다 행동,평소,0
9,2026-03-10,기숙사/주거,미래관에서 지금 위쪽 기숙사로 걸어가는 남자무리 못배운티좀 내지마라,자정에 소리지르고 지랄을한다 진짜,기숙사에서 지금 위쪽 기숙사로 걸어가는 남자무리 못배운티좀 내지마라 자정에 소리지르고 지랄을한다 진짜,기숙사 지금 위쪽 기숙사 걸어가다 남자 무리 배우다 티좀 자정 소리 지르다 지랄,평소,0
10,2025-12-18,기숙사/주거,문좀살살닫아요,기숙사문이요... 가치사는공간이잖아요 ㅅㅂ,문좀살살닫아요 기숙사문이요 가치사는공간이잖아요 시발,살살 닫다 기숙사 이요 가치 공간 잖다 시발,시험기간,0
11,2025-11-22,기숙사/주거,기숙사 난방,기숙사 미래관 히터 문제없이 되나요?? 오늘 안켜지는데 저희방만 이러는걸까요..ㅠㅠ,기숙사 난방 기숙사 기숙사 히터 문제없이 되나요 오늘 안켜지는데 저희방만 이러는걸까요,기숙사 난방 기숙사 기숙사 히터 오늘 켜지다 방만 이르다 끄다,평소,0
12,2025-11-20,기숙사/주거,미래관 난방 들어오는거 맞아?,여자 기숙사 왜이렇게 추워ㅠㅠ,기숙사 난방 들어오는거 맞아 여자 기숙사 왜이렇게 추워,기숙사 난방 들어오다 여자 기숙사 춥다,평소,0
13,2025-10-31,기숙사/주거,조용히좀해,기숙사들어오는사람들 조용히좀해,조용히좀해 기숙사들어오는사람들 조용히좀해,조용하다 좋다 기숙사 들어오다 조용하다 좋다,시험기간,1
14,2025-10-21,기숙사/주거,기숙사 소음,"원래 밤에 이렇게 소음이 심한가?
뭐 전투기 지나가는 소리처럼 우우우웅 거림
긱사 방 바닥 울리는데",기숙사 소음 원래 밤에 이렇게 소음이 심한가 뭐 전투기 지나가는 소리처럼 우우우웅 거림 기숙사 방 바닥 울리는데,기숙사 소음 원래 소음 심하다 전투기 지나가다 소리 거림 기숙사 바닥 울리다,시험기간,0
15,2025-10-11,기숙사/주거,"ㅆl벌 기숙사 에어컨좀
","ㅈㄴ짜증나네 진짜
사생회 개꿀이네 하는것도 없으면서 돈 따박따박",ㅆl벌 기숙사 에어컨좀 존나짜증나네 진짜 사생회 개꿀이네 하는것도 없으면서 돈 따박따박,기숙사 에어컨 존나 짜증나다 생회 개꿀 따다 따다,시험기간,8
16,2025-10-13,기숙사/주거,"기숙사 에어컨 오후 말고 잘때 틀어주세요
","밖보다 안이 더운데 하루종일 창문 열어도 습하고 시원해지지도 않고 더워서 잠을 못 자겠어요

",기숙사 에어컨 오후 말고 잘때 틀어주세요 밖보다 안이 더운데 하루종일 창문 열어도 습하고 시원해지지도 않고 더워서 잠을 못 자겠어요,기숙사 에어컨 오후 틀어주다 안이 덥다 하루 종일 창문 어도 습하다 시원하다 덥다,시험기간,4
17,2025-09-29,기숙사/주거,"뭔 이 작은 캠퍼스에 기숙사에 에어컨
","들어갈 돈이 얼마나있다고

그 비싼 등록금 받아처먹으면서

에어컨을 처 통제하냐 존나 더운데 ㅅㅂ
",뭔 이 작은 캠퍼스에 기숙사에 에어컨 들어갈 돈이 얼마나있다고 그 비싼 등록금 받아처먹으면서 에어컨을 처 통제하냐 존나 더운데 시발,작다 기숙사 에어컨 들어가다 얼마나 비싸다 등록금 에어컨 통제 존나 덥다 시발,평소,59
18,2025-09-24,기숙사/주거,"기숙사 와이파이 나만 안됨..?
","빡치네.. 수리해주세요에 문의해봐야하나..

",기숙사 와이파이 나만 안됨 빡치네 수리해주세요에 문의해봐야하나,기숙사 와이파이 빡치다 수리 문의,평소,0
